Time_Step,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Price_Movement,Target_Close_7d,Price_Increase_7d,Daily_Return,Volatility,SMA_7,SMA_30,SMA_100,Std_Dev_100,Upper_Band,Lower_Band,Momentum_ROC,Sentiment_Score
134,5.366,5.6,5.362,5.576,5.576,10306000,3,1,0.294,5.128,0,0.039135,0.047882,5.396,6.098667,4.9372,1.03684,7.01088,2.86352,48.4558,0
135,5.6,5.716,5.58,5.648,5.648,11239500,4,1,0.102,4.806,0,0.012912,0.047557,5.410571,6.050467,4.95538,1.033162,7.021704,2.889056,47.4674,0
136,5.634,5.736,5.61,5.69,5.69,6713500,0,1,0.39,4.524,0,0.007436,0.047625,5.466286,6.004667,4.97474,1.028551,7.031842,2.917638,51.5717,0
137,5.718,5.742,5.384,5.392,5.392,8551000,1,1,0.066,4.608,0,-0.052373,0.048707,5.475714,5.955533,4.99108,1.021985,7.03505,2.94711,43.4806,0
138,5.402,5.48,5.304,5.392,5.392,4822000,2,1,0.068,4.898,0,0.0,0.048393,5.485429,5.899733,5.0068,1.015861,7.038522,2.975078,41.1518,10
139,5.392,5.394,5.232,5.244,5.244,3618000,3,1,-0.09,4.936,0,-0.027448,0.046645,5.472571,5.845533,5.01898,1.011274,7.041528,2.996432,30.253400000000003,10
140,5.23,5.316,5.122,5.15,5.15,5960000,4,1,-0.216,4.95,0,-0.017925,0.045805,5.441714,5.801533,5.03208,1.004308,7.040696,3.023464,34.1146,10
141,5.096,5.128,4.95,5.128,5.128,8108500,1,1,-0.448,4.984,0,-0.004272,0.044559,5.377714,5.762533,5.04356,0.998706,7.040972,3.046148,28.8442,10
142,5.054,5.094,4.75,4.806,4.806,11857500,2,1,-0.842,4.802,0,-0.062793,0.045707,5.257429,5.720667,5.05212,0.99289,7.0379,3.06634,21.6709,10
143,4.806,4.89,4.474,4.524,4.524,11399500,3,1,-1.166,4.82,1,-0.058677,0.046515,5.090857,5.661067,5.05796,0.987988,7.033936,3.081984,14.822299999999998,10
144,4.624,4.718,4.542,4.608,4.608,6085000,4,1,-0.784,4.782,1,0.018568,0.046547,4.978857,5.598867,5.0643,0.982984,7.030268,3.098332,15.9537,10
145,4.706,4.962,4.646,4.898,4.898,8225500,0,1,-0.494,4.788,0,0.062934,0.049275,4.908286,5.548467,5.07432,0.976037,7.026394,3.122246,25.7187,0
146,4.93,4.978,4.804,4.936,4.936,6357500,1,1,-0.308,4.726,0,0.007758,0.047078,4.864286,5.502867,5.08278,0.971072,7.024924,3.140636,20.6846,0
147,4.942,4.976,4.82,4.95,4.95,5399500,2,1,-0.2,4.692,0,0.002836,0.033906,4.835714,5.4642,5.09016,0.967184,7.024528,3.155792,17.5214,0
148,4.948,5.016,4.906,4.984,4.984,4478500,3,1,-0.144,4.614,0,0.006869,0.033031,4.815143,5.440133,5.0979,0.963158,7.024216,3.171584,18.3848,0
149,4.976,4.976,4.75,4.802,4.802,5242000,4,1,-0.004,4.898,1,-0.036517,0.031553,4.814571,5.402867,5.10484,0.958442,7.021724,3.187956,16.893900000000002,10
150,4.81,4.824,4.7,4.82,4.82,4151500,0,1,0.296,4.642,0,0.003748,0.030381,4.856857,5.358133,5.11124,0.954332,7.019904,3.202576,15.311,10
151,4.862,4.946,4.708,4.782,4.782,3539000,1,2,0.174,4.644,0,-0.007884,0.03032,4.881714,5.308467,5.11764,0.949902,7.017444,3.217836,15.4515,10
152,4.832,4.836,4.734,4.788,4.788,2847500,2,2,-0.11,4.65,0,0.001255,0.030334,4.866,5.256733,5.12518,0.944189,7.013558,3.236802,18.6911,10
153,4.764,4.78,4.63,4.726,4.726,2560000,3,2,-0.21,4.616,0,-0.012949,0.030348,4.836,5.1992,5.131,0.939864,7.010728,3.251272,14.0444,0
154,4.688,4.734,4.644,4.692,4.692,2720000,4,2,-0.258,4.568,0,-0.007194,0.030239,4.799143,5.138067,5.13568,0.936461,7.008602,3.262758,11.0795,0
155,4.652,4.652,4.576,4.614,4.614,4475500,0,2,-0.37,4.946,1,-0.016624,0.028481,4.746286,5.091267,5.13786,0.934974,7.007808,3.267912,4.9591,0
156,4.756,5.05,4.6,4.898,4.898,17524500,1,2,0.096,4.72,0,0.061552,0.032068,4.76,5.0842,5.14496,0.930373,7.005706,3.284214,16.9532,10
157,4.826,4.836,4.558,4.642,4.642,13178000,2,2,-0.178,4.636,0,-0.052266,0.033411,4.734571,5.062867,5.15092,0.925156,7.001232,3.300608,14.7306,10
158,4.652,4.728,4.562,4.644,4.644,4180500,3,2,-0.138,4.374,0,0.000431,0.031947,4.714857,5.0328,5.15524,0.92173,6.9987,3.31178,10.2564,10
159,4.65,4.75,4.588,4.65,4.65,3172500,4,2,-0.138,4.366,0,0.001292,0.031962,4.695143,5.011133,5.1602,0.917613,6.995426,3.324974,11.9403,10
160,4.728,4.828,4.61,4.616,4.616,6415500,0,2,-0.11,4.506,0,-0.007312,0.031603,4.679429,4.987467,5.16662,0.911455,6.98953,3.34371,16.155,10
161,4.602,4.634,4.512,4.568,4.568,4768500,1,2,-0.124,4.722,1,-0.010399,0.031499,4.661714,4.962267,5.17318,0.90467,6.98252,3.36384,16.768900000000002,10
162,4.62,4.994,4.614,4.946,4.946,20575500,2,2,0.332,4.778,0,0.08275,0.036892,4.709143,4.949333,5.18244,0.897457,6.977354,3.387526,23.0348,10
163,4.926,5.098,4.71,4.72,4.72,13092000,3,2,-0.178,4.788,1,-0.045693,0.035629,4.683714,4.9278,5.18858,0.892102,6.972784,3.404376,14.9537,10
164,4.666,4.698,4.592,4.636,4.636,11853500,4,2,-0.006,4.804,1,-0.017797,0.03332,4.682857,4.896467,5.19214,0.889146,6.970432,3.413848,8.3178,0
165,4.576,4.6,4.356,4.374,4.374,10323000,1,2,-0.27,4.872,1,-0.056514,0.035382,4.644286,4.854,5.19192,0.889347,6.970614,3.413226,-0.5005,0
166,4.436,4.5,4.222,4.366,4.366,8028000,2,2,-0.284,4.99,1,-0.001829,0.032121,4.603714,4.809867,5.19476,0.886215,6.96719,3.42233,6.9574,0
167,4.356,4.516,4.3,4.506,4.506,5276500,3,2,-0.11,4.988,1,0.032066,0.033028,4.588,4.780333,5.19862,0.882319,6.963258,3.433982,9.3689,10
168,4.562,4.77,4.538,4.722,4.722,6731500,4,2,0.154,4.932,1,0.047936,0.034896,4.61,4.758,5.20386,0.877861,6.959582,3.448138,12.4821,10
169,4.748,4.82,4.7,4.778,4.778,5256000,0,2,-0.168,4.944,1,0.011859,0.034974,4.586,4.742467,5.2094,0.873351,6.956102,3.462698,13.1155,10
170,4.81,4.864,4.74,4.788,4.788,5532000,1,3,0.068,4.802,1,0.002093,0.03404,4.595714,4.7304,5.21636,0.867107,6.950574,3.482146,17.008799999999997,10
171,4.764,4.856,4.746,4.804,4.804,3316500,2,3,0.168,4.814,1,0.003342,0.034038,4.619714,4.7196,5.22354,0.860601,6.944742,3.502338,17.5722,0
172,4.896,4.958,4.812,4.872,4.872,3201000,3,3,0.498,4.65,0,0.014155,0.03411,4.690857,4.7218,5.2314,0.853668,6.938736,3.524064,19.2364,0
173,4.896,4.998,4.756,4.99,4.99,7900500,4,3,0.624,4.59,0,0.02422,0.03447,4.78,4.737333,5.24082,0.845637,6.932094,3.549546,23.2708,0
174,4.986,5.08,4.94,4.988,4.988,10168000,0,3,0.482,4.564,0,-0.000401,0.034297,4.848857,4.75,5.25022,0.837429,6.925078,3.575362,23.2213,0
175,4.92,4.992,4.8,4.932,4.932,6999500,1,3,0.21,4.562,0,-0.011227,0.034369,4.878857,4.751133,5.25846,0.830098,6.918656,3.598264,20.0584,10
176,4.932,4.998,4.854,4.944,4.944,4624000,2,3,0.166,4.592,0,0.002433,0.034077,4.902571,4.7514,5.2664,0.823157,6.912714,3.620086,19.1325,10
177,4.888,4.898,4.746,4.802,4.802,5085000,3,3,0.014,4.546,0,-0.028722,0.032067,4.904571,4.746467,5.27334,0.816188,6.905716,3.640964,16.893900000000002,10
178,4.77,4.85,4.706,4.814,4.814,4654000,4,3,0.01,4.438,0,0.002499,0.029789,4.906,4.7408,5.28102,0.808095,6.89721,3.66483,18.9817,10
179,4.764,4.8,4.64,4.65,4.65,5830000,0,3,-0.222,4.442,0,-0.034067,0.030822,4.874286,4.735733,5.28742,0.800425,6.88827,3.68657,15.9601,10
180,4.44,4.592,4.36,4.59,4.59,6594000,1,3,-0.4,4.466,0,-0.012903,0.03096,4.817143,4.728067,5.29202,0.79501,6.88204,3.702,11.138,10
181,4.572,4.65,4.538,4.564,4.564,5848500,2,3,-0.424,4.55,0,-0.005664,0.030943,4.756571,4.7208,5.29616,0.790066,6.876292,3.716028,9.9759,10
182,4.648,4.686,4.528,4.562,4.562,4613000,3,3,-0.37,4.65,1,-0.000438,0.030853,4.703714,4.713267,5.30034,0.784998,6.870336,3.730344,10.0869,0
183,4.638,4.638,4.502,4.592,4.592,3439500,4,3,-0.352,4.784,1,0.006576,0.024511,4.653429,4.7088,5.30456,0.779978,6.864516,3.744604,10.1199,0
184,4.61,4.61,4.508,4.546,4.546,2058500,0,3,-0.256,4.742,1,-0.010017,0.022583,4.616857,4.703933,5.3073,0.776789,6.860878,3.753722,6.4139,0
185,4.546,4.572,4.4,4.438,4.438,2914500,1,3,-0.376,5.55,1,-0.023757,0.022833,4.563143,4.698067,5.30968,0.773721,6.857122,3.762238,5.6667000000000005,0
186,4.422,4.454,4.354,4.442,4.442,2114000,2,3,-0.208,5.332,1,0.000901,0.019088,4.533429,4.682867,5.31172,0.771131,6.853982,3.769458,4.8136,10
187,4.428,4.476,4.396,4.466,4.466,2311000,3,3,-0.124,5.166,1,0.005403,0.019101,4.515714,4.677,5.3127,0.769981,6.852662,3.772738,2.2436000000000003,10
188,4.486,4.6,4.48,4.55,4.55,2840000,4,3,-0.014,5.34,1,0.018809,0.018231,4.513714,4.673867,5.31538,0.766817,6.849014,3.781746,6.258800000000001,10
189,4.54,4.708,4.51,4.65,4.65,5290500,0,3,0.088,5.298,1,0.021978,0.015545,4.526286,4.673867,5.31938,0.762233,6.843846,3.794914,9.4118,0
190,4.66,4.8,4.642,4.784,4.784,3777000,1,3,0.192,5.448,1,0.028817,0.016628,4.553714,4.679467,5.32368,0.757933,6.839546,3.807814,9.876,0
191,4.822,4.898,4.602,4.742,4.742,6116500,2,3,0.196,5.298,1,-0.008779,0.016734,4.581714,4.685267,5.3213,0.759395,6.84009,3.80251,-4.7791,0
192,5.31,5.742,5.3,5.55,5.55,57589000,3,3,1.112,5.054,0,0.170392,0.040868,4.740571,4.7054,5.32792,0.758465,6.84485,3.81099,13.5434,0
193,5.49,5.636,5.314,5.332,5.332,14324000,4,4,0.89,4.93,0,-0.039279,0.042086,4.867714,4.7258,5.33128,0.757723,6.846726,3.815834,6.7254,10
194,5.366,5.4,5.046,5.166,5.166,13046500,0,4,0.7,4.986,0,-0.031133,0.042559,4.967714,4.743467,5.33368,0.756806,6.847292,3.820068,4.8721,10
195,5.18,5.4,5.138,5.34,5.34,15904500,1,4,0.79,5.028,0,0.033682,0.043091,5.080571,4.775667,5.32836,0.754851,6.838062,3.818658,-9.0599,10
196,5.398,5.402,5.16,5.298,5.298,6441500,2,4,0.648,5.116,0,-0.007865,0.043038,5.173143,4.806733,5.32526,0.754328,6.833916,3.816604,-5.5278,10
197,5.37,5.588,5.29,5.448,5.448,14051500,3,4,0.664,5.006,0,0.028313,0.043353,5.268,4.838133,5.32006,0.75164,6.82334,3.81678,-8.7131,10
198,5.516,5.52,5.272,5.298,5.298,9732000,4,4,0.556,5.032,0,-0.027533,0.043307,5.347429,4.857333,5.31144,0.746837,6.805114,3.817766,-13.9935,10
199,5.294,5.306,5.004,5.054,5.054,6847000,0,4,-0.496,5.15,1,-0.046055,0.044748,5.276571,4.866533,5.30264,0.744609,6.791858,3.813422,-14.8298,10
200,5.016,5.042,4.86,4.93,4.93,6787000,1,4,-0.402,5.348,1,-0.024535,0.044398,5.219143,4.871267,5.29296,0.743081,6.779122,3.806798,-16.4123,0
201,5.026,5.138,4.962,4.986,4.986,6057500,2,4,-0.18,5.278,1,0.011359,0.044261,5.193429,4.877333,5.28304,0.74046,6.76396,3.80212,-16.5942,0
202,4.974,5.056,4.84,5.028,5.028,4917000,3,4,-0.312,5.386,1,0.008424,0.044201,5.148857,4.882533,5.27134,0.735081,6.741502,3.801178,-18.8771,0
203,5.13,5.236,5.082,5.116,5.116,4717500,4,4,-0.182,5.416,1,0.017502,0.044254,5.122857,4.886733,5.2557,0.721316,6.698332,3.813068,-23.4132,0
204,5.026,5.124,4.872,5.006,5.006,5169500,0,4,-0.442,5.532,1,-0.021501,0.044669,5.059714,4.887333,5.23662,0.701984,6.640588,3.832652,-27.5962,10
205,5.052,5.052,4.93,5.032,5.032,2743500,1,4,-0.266,5.52,1,0.005194,0.044536,5.021714,4.890667,5.216,0.676704,6.569408,3.862592,-29.0668,10
206,5.14,5.218,5.06,5.15,5.15,4186000,2,4,0.096,5.49,1,0.02345,0.044163,5.035429,4.897533,5.19686,0.650466,6.497792,3.895928,-27.0951,10
207,5.17,5.396,5.118,5.348,5.348,6930500,3,4,0.418,5.374,1,0.038447,0.04462,5.095143,4.915733,5.18168,0.628461,6.438602,3.924758,-22.1089,10
208,5.34,5.346,5.194,5.278,5.278,4004500,0,4,0.292,5.338,1,-0.013089,0.044892,5.136857,4.9312,5.1638,0.599056,6.361912,3.965688,-25.3043,0
209,5.332,5.45,5.262,5.386,5.386,7000000,1,4,0.358,5.288,0,0.020462,0.044912,5.188,4.955733,5.14896,0.574229,6.297418,4.000502,-21.6012,0
210,5.386,5.472,5.326,5.416,5.416,4984500,2,4,0.3,5.424,1,0.00557,0.044817,5.230857,4.983267,5.13842,0.559213,6.256846,4.019994,-16.290599999999998,0
211,5.414,5.538,5.344,5.532,5.532,8000000,3,4,0.526,5.582,1,0.021418,0.044675,5.306,5.015533,5.13076,0.548309,6.227378,4.034142,-12.1626,10
212,5.538,5.574,5.484,5.52,5.52,3630000,4,4,0.488,5.666,1,-0.002169,0.044575,5.375714,5.047467,5.12534,0.541649,6.208638,4.042042,-8.940900000000001,10
213,5.52,5.56,5.412,5.49,5.49,3923000,0,5,0.34,5.414,0,-0.005435,0.024625,5.424286,5.0774,5.11712,0.529561,6.176242,4.057998,-13.0228,10
214,5.476,5.478,5.3,5.374,5.374,4569500,1,5,0.026,5.534,1,-0.021129,0.023478,5.428,5.105,5.10612,0.512233,6.130586,4.081654,-16.991,10
215,5.356,5.4,5.15,5.338,5.338,5222500,2,5,0.06,5.51,1,-0.006699,0.022405,5.436571,5.135,5.0954,0.495617,6.086634,4.104166,-16.7239,10
216,5.44,5.488,5.234,5.288,5.288,6092500,3,5,-0.098,5.32,1,-0.009367,0.021284,5.422571,5.1632,5.08524,0.480783,6.046806,4.123674,-16.1168,10
217,5.38,5.54,5.324,5.424,5.424,4908500,4,5,0.008,5.192,0,0.025719,0.021935,5.423714,5.195133,5.07838,0.470804,6.019988,4.136772,-11.2275,10
218,5.4,5.6,5.37,5.582,5.582,4582000,0,5,0.05,5.27,0,0.02913,0.021986,5.430857,5.229533,5.07714,0.469295,6.01573,4.13855,-2.1732,0
219,5.648,5.79,5.582,5.666,5.666,7676500,1,5,0.146,5.64,0,0.015048,0.021132,5.451714,5.2634,5.0746,0.465358,6.005316,4.143884,-4.2905,0
220,5.64,5.66,5.384,5.414,5.414,4812500,2,5,-0.076,5.594,1,-0.044476,0.020949,5.440857,5.2844,5.06712,0.453565,5.97425,4.15999,-12.1389,0
221,5.414,5.548,5.33,5.534,5.534,3140000,3,5,0.16,5.364,0,0.022165,0.020294,5.463714,5.3108,5.05974,0.43955,5.93884,4.18064,-11.7666,0
222,5.6,5.638,5.46,5.51,5.51,3307500,4,5,0.172,5.344,0,-0.004337,0.020364,5.488286,5.309467,5.05144,0.422642,5.896724,4.206156,-13.0915,10
223,5.598,5.598,5.31,5.32,5.32,3778500,0,5,0.032,5.796,1,-0.034483,0.02208,5.492857,5.309067,5.04012,0.399264,5.838648,4.241592,-17.5449,10
224,5.4,5.4,5.144,5.192,5.192,6171000,1,5,-0.232,5.896,1,-0.02406,0.022566,5.459714,5.309933,5.02678,0.370356,5.767492,4.286068,-20.4413,10
225,5.22,5.294,5.104,5.27,5.27,3647500,2,5,-0.312,5.91,1,0.015023,0.022153,5.415143,5.3076,5.0193,0.357463,5.734226,4.304374,-12.4294,10
226,5.406,5.688,5.32,5.64,5.64,13275500,3,5,-0.026,6.028,1,0.070209,0.026615,5.411429,5.319,5.0246,0.362712,5.750024,4.299176,10.3718,0
227,5.652,5.656,5.47,5.594,5.594,4212500,4,5,0.18,5.704,1,-0.008156,0.026459,5.437143,5.323867,5.02772,0.366273,5.760266,4.295174,5.9069,0
228,5.524,5.524,5.324,5.364,5.364,4318000,0,5,-0.17,5.752,1,-0.041115,0.027012,5.412857,5.326067,5.0259,0.364117,5.754134,4.297666,-3.2816,0
229,5.404,5.5,5.32,5.344,5.344,3068500,1,5,-0.166,6.026,1,-0.003729,0.026853,5.389143,5.335733,5.02634,0.364478,5.755296,4.297384,0.8302,10
230,5.38,5.802,5.234,5.796,5.796,23465500,2,5,0.476,5.74,0,0.084581,0.032281,5.457143,5.3646,5.03104,0.371347,5.773734,4.288346,8.8246,10
231,5.764,5.952,5.62,5.896,5.896,16684500,3,5,0.704,5.674,0,0.017253,0.032411,5.557714,5.394933,5.03676,0.380205,5.79717,4.27635,10.7438,10
232,5.908,5.934,5.764,5.91,5.91,8435500,4,5,0.64,5.424,0,0.002374,0.03218,5.649143,5.424333,5.04252,0.389015,5.82055,4.26449,10.7987,10
233,5.938,6.056,5.91,6.028,6.028,16452500,1,5,0.388,5.524,0,0.019966,0.032343,5.704571,5.454733,5.04914,0.400051,5.849242,4.249038,12.3369,10
234,6.0,6.02,5.676,5.704,5.704,7649500,2,6,0.11,5.572,0,-0.053749,0.034729,5.720286,5.478,5.05042,0.401954,5.854328,4.246512,2.2956,10
235,5.704,5.864,5.702,5.752,5.752,4931500,3,6,0.388,5.686,0,0.008415,0.034325,5.775714,5.502,5.05146,0.403647,5.858754,4.244166,1.8414,10
236,5.99,6.3,5.9,6.026,6.026,31046000,4,6,0.682,5.72,0,0.047636,0.035521,5.873143,5.5312,5.05482,0.410359,5.875538,4.234102,5.9051,10
237,6.02,6.026,5.652,5.74,5.74,11655500,0,6,-0.056,5.464,0,-0.047461,0.037294,5.865143,5.544267,5.0583,0.4147,5.8877,4.2289,6.454,0
238,5.788,5.878,5.652,5.674,5.674,6110500,1,6,-0.222,5.3,0,-0.011498,0.037123,5.833429,5.557467,5.06112,0.417938,5.896996,4.225244,5.23,0
239,5.688,5.72,5.404,5.424,5.424,8479500,2,6,-0.486,5.3,0,-0.044061,0.037954,5.764,5.558733,5.06292,0.419119,5.901158,4.224682,3.4325,0
240,5.486,5.62,5.42,5.524,5.524,8016000,3,6,-0.504,5.202,0,0.018437,0.038031,5.692,5.562333,5.06666,0.421566,5.909792,4.223528,7.2621,10
241,5.504,5.66,5.47,5.572,5.572,7833000,4,6,-0.132,5.506,0,0.008689,0.036706,5.673143,5.563667,5.0711,0.424546,5.920192,4.222008,8.658299999999999,10
242,5.614,5.776,5.576,5.686,5.686,8567000,0,6,-0.066,5.442,0,0.020459,0.036661,5.663714,5.5692,5.0799,0.428101,5.936102,4.223698,18.3104,10
243,5.708,5.94,5.704,5.72,5.72,7867000,1,6,-0.306,5.542,0,0.00598,0.036642,5.62,5.576867,5.09186,0.429119,5.950098,4.233622,26.4368,10
244,5.688,5.69,5.414,5.464,5.464,6725000,2,6,-0.276,5.514,1,-0.044755,0.037223,5.580571,5.579867,5.10042,0.427906,5.956232,4.244608,18.5764,0
245,5.534,5.6,5.148,5.3,5.3,9211000,3,6,-0.374,5.492,1,-0.030015,0.037453,5.527143,5.5786,5.10444,0.427873,5.960186,4.248694,8.2074,0
246,5.374,5.54,5.228,5.3,5.3,8570000,4,6,-0.124,5.622,1,0.0,0.037327,5.509429,5.579,5.10808,0.427974,5.964028,4.252132,7.3744,0
247,5.258,5.292,5.1,5.202,5.202,7689000,0,6,-0.322,5.658,1,-0.018491,0.033963,5.463429,5.5716,5.1106,0.427776,5.966152,4.255048,5.0909,0
248,5.248,5.546,5.2,5.506,5.506,7480000,1,6,-0.066,5.826,1,0.058439,0.0365,5.454,5.569067,5.11582,0.429397,5.974614,4.257026,10.4735,10
249,5.474,5.65,5.42,5.442,5.442,7378000,2,6,-0.244,5.804,1,-0.011624,0.035395,5.419143,5.5616,5.12222,0.429442,5.981104,4.263336,13.3278,10
250,5.44,5.544,5.242,5.542,5.542,5850000,3,6,-0.178,5.828,1,0.018376,0.035567,5.393714,5.565867,5.12944,0.430378,5.990196,4.268684,14.9793,10
251,5.528,5.594,5.452,5.514,5.514,18042500,4,6,0.05,5.792,1,-0.005052,0.030172,5.400857,5.5652,5.13676,0.430634,5.998028,4.275492,15.3074,10
252,5.546,5.656,5.462,5.492,5.492,9047000,0,6,0.192,5.946,1,-0.00399,0.029851,5.428286,5.5646,5.1438,0.430629,6.005058,4.282542,14.7034,10
253,5.558,5.65,5.534,5.622,5.622,4446000,1,6,0.322,5.762,1,0.023671,0.030398,5.474286,5.574667,5.15276,0.431169,6.015098,4.290422,18.959,10
254,5.7,5.818,5.614,5.658,5.658,7309000,2,6,0.456,5.67,1,0.006403,0.030051,5.539429,5.5902,5.16242,0.431563,6.025546,4.299294,20.5882,10
255,5.7,5.866,5.68,5.826,5.826,4733500,3,6,0.32,5.634,0,0.029692,0.028419,5.585143,5.608733,5.17454,0.433022,6.040584,4.308496,26.2679,0
